"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"North Shore Hebrew Academy High School","11-3561811","2017-09-01","2018-08-31","2001","2017","990","400 N Service Rd","","Great Neck","NY","Nassau",="11020","516-281-9944","WWW.NSHAHS.ORG","501(c)(3) Public Charity","Secondary education","","","B25 (Secondary/High School)","611110","8211","","N","","JOHN F VECCHIO","http://www.guidestar.org/profile/11-3561811","http://www.guidestar.org/FinDocuments/2018/113/561/2018-113561811-10572579-9.pdf","$51,448,977","$3,473,465","","$35,059,839","$15,516","","$35,044,323","$12,592,727","$12,710,327","","$1,130,819","$567,412","$416,769","","$11,045,139","$16,389,138","$12,251,000","","$13,380,158","$12,156,413","$1,223,745","$0","$34,850","","","$235,198","$567,862","","$1,366","$223,476","","","IVAN KAUFMAN","","","","","126"
"L and I Wassner Family Foundation Inc","11-3561928","2018-01-01","2018-12-31","2002","2018","990PF","622 Avenue K","","Brooklyn","NY","Kings",="11230","718-377-8086","","501(c)(3) Private Nonoperating Foundation","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3561928","http://www.guidestar.org/FinDocuments/2018/113/561/2018-113561928-17059938-F.pdf","$531,707","$5,232","$526,475","$531,707","","","","$23,855","$23,855","$23,855","$25,000","","","","","$0","","","$25,881","","","","","","","","","","","","","","","","","","",""
"Network Refugees Inc","11-3562214","","","2002","","","221 Clermont Ave Apt 2","","Brooklyn","NY","Kings",="11205","","","501(c)(3) Public Charity","Immigrant services","","","P84 (Ethnic/Immigrant Services)","624190","8322","","","","","http://www.guidestar.org/profile/11-3562214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tri-Community Youth Organization","11-3563036","","","2002","","","777 County Line Rd Apt 14a","","Amityville","NY","Suffolk",="11701","","","501(c)(3) Public Charity","Youth organizing","","","O50 (Youth Development Programs)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3563036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Italian Youth Soccer Club Inc","11-3563329","2018-08-01","2019-07-31","2001","2018","990","5725 18th Ave","","Brooklyn","NY","Kings",="11204","718-232-9435","WWW.BROOKLYNITALIANS.ORG","501(c)(3) Public Charity","Human services","","","N64 (Soccer Clubs/Leagues)","713990","7911","7993","Y","N","POSSES & CHASAN CPAs PLLC","http://www.guidestar.org/profile/11-3563329","http://www.guidestar.org/FinDocuments/2019/113/563/2019-113563329-1125ef5e-9.pdf","$90,392","$90,392","$0","$90,392","","","$90,392","$646,429","$646,429","$0","$26,340","","$73,964","$0","$546,125","$0","$0","","$630,302","$587,535","$42,767","$0","$1,500","$2,730","$0","$11,862","$0","$0","$0","$0","","$0","","","","","","0"
"Ovations Dance Repertory Corp","11-3563638","2018-01-01","2018-12-31","2001","2018","990","PO Box 52","","Bohemia","NY","Suffolk",="11716","631-218-0315","N/A","501(c)(3) Public Charity","Elementary and secondary education","","","A62 (Dance)","711120","7922","","N","","Myles S Kassman & Co Inc","http://www.guidestar.org/profile/11-3563638","http://www.guidestar.org/FinDocuments/2018/113/563/2018-113563638-17035301-9.pdf","$22,846","$21,159","","$17,721","","","$17,721","$171,277","$171,277","","$25,676","","","","$145,601","$5,125","$5,125","","$155,767","$148,508","$4,090","$3,169","","","","","","","","","","","ORLANDO PENA","","","","","0"
"LA MONT DOTTIN FOUNDATION","11-3564127","","","2014","","","1515 Jefferson Davis Hwy Ste 1521","","Arlington","VA","Arlington",="22202","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-3564127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B G Fund Inc","11-3564205","","","2001","","","4905 18th Ave","","Brooklyn","NY","Kings",="11204","","","501(c)(3) Private Nonoperating Foundation","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3564205","http://www.guidestar.org/FinDocuments/2010/113/564/2010-113564205-07539159-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Imagine Project Inc","11-3564861","","","2001","","","540 Ocean Pkwy Apt 4k","","Brooklyn","NY","Kings",="11218","","","501(c)(3) Public Charity","Arts education","Performing arts education","Youth development","N50 (Recreational, Pleasure, or Social Club)","713990","7911","7993","","","","http://www.guidestar.org/profile/11-3564861","http://www.guidestar.org/FinDocuments/2009/113/564/2009-113564861-067ce422-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tomchei Shabbos-Yad Yeshaya Inc","11-3565335","2019-01-01","2019-12-31","2000","2019","990","634 Oak Dr","","Far Rockaway","NY","Queens",="11691","718-327-7283","TOMCHEISHABBOS.ORG","501(c)(3) Public Charity","Basic and emergency aid","","","K31 (Food Banks, Food Pantries)","624210","8322","","N","","BASS & LEMER LLP","http://www.guidestar.org/profile/11-3565335","http://www.guidestar.org/FinDocuments/2018/113/565/2018-113565335-10c7196f-9.pdf","$1,299,409","$1,299,409","","$1,299,409","","","$1,299,409","$940,491","$940,491","$9,795","$930,696","","","","","$0","$0","","$911,389","$894,712","$3,320","$13,357","$4,569","$13,357","","$761","","","","","","","MARTIN LAMM","","","","","0"
"BSPCC Foundation Ltd","11-3565753","","","2001","","","186 Montague St","","Brooklyn","NY","Kings",="11201","","","501(c)(3) Public Charity","Human services","","","P12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-3565753","http://www.guidestar.org/FinDocuments/2006/113/565/2006-113565753-031ee928-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamond Setting Institute Inc","11-3566047","","","2001","","","2814 W 8th St","","Brooklyn","NY","Kings",="11224","","","501(c)(3) Public Charity","Vocational education","","","B30 (Vocational Technical)","61151","","","","","","http://www.guidestar.org/profile/11-3566047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Caring Human Services Inc","11-3566746","","","2003","","","565 Portland Ave","","North Baldwin","NY","Nassau",="11510","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","","http://www.guidestar.org/profile/11-3566746","http://www.guidestar.org/FinDocuments/2006/113/566/2006-113566746-034f5952-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Fans Inc","11-3567285","","","2000","","","6141 Saunders St Apt B62","","Rego Park","NY","Queens",="11374","","","501(c)(3) Public Charity","Youth organizing","","","O50 (Youth Development Programs)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3567285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"An Urban Alternative of N Y Inc","11-3567650","","","2002","","","100 E Old Country Rd Ste 6","","Mineola","NY","Nassau",="11501","","","501(c)(3) Public Charity","Youth organizing","","","O50 (Youth Development Programs)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3567650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paul Anthony Lopez Memorial Scholarship Fund Inc","11-3568018","","","2002","","","284 Easton St","","Ronkonkoma","NY","Suffolk",="11779","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3568018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Ohatchee Cherokee Tribe Nation Inc","11-3568112","","","2002","","","3401 Foster Ave Ste C1","","Brooklyn","NY","Kings",="11210","","","501(c)(3) Public Charity","Immigrant services","","","P84 (Ethnic/Immigrant Services)","624190","8322","","","","","http://www.guidestar.org/profile/11-3568112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A Penny for Our Dreams","11-3568357","","","2000","","","17 Wisconsin Ave","","Port Jefferson Station","NY","Suffolk",="11776","","","501(c)(3) Public Charity","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/11-3568357","http://www.guidestar.org/FinDocuments/2003/113/568/2003-113568357-1-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jewish Identity Project of NY Inc","11-3569107","","","2000","","","2678 Ocean Ave","","Brooklyn","NY","Kings",="11229","","","501(c)(3) Private Nonoperating Foundation","Basic and emergency aid","","","P60 (Emergency Assistance (Food, Clothing, Cash))","624230","8322","","","","","http://www.guidestar.org/profile/11-3569107","http://www.guidestar.org/FinDocuments/2001/113/569/2001-113569107-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-3569242","","","1954","","","24 Woodthrush Ln","","Water Mill","NY","Suffolk",="11976","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3569242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moses A Baldwin Camp 544 Sons of Union Veterans of the Civil","11-3569699","","","2020","","","1472 SYLVIA LN","","EAST MEADOW","NY","Nassau",="11554","","","501(c)(3) Public Charity","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3569699","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maureen T Paliogiannis Sports Scholarship Fund Inc","11-3569986","","","2001","","","325 Merrick Ave","","East Meadow","NY","Nassau",="11554","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-3569986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Island Rehabilitation and Nursing Center Inc","11-3570505","2018-01-01","2018-12-31","2001","2018","990","5537 Expressway Dr N","","Holtsville","NY","Suffolk",="11742","(631) 758-3336","www.islandnursing.org","501(c)(3) Public Charity","Nursing homes","","","E91 (Nursing, Convalescent (Geriatric and Nursing))","623110","8051","8052","N","","BKD LLP","http://www.guidestar.org/profile/11-3570505","http://www.guidestar.org/FinDocuments/2018/113/570/2018-113570505-17126958-9.pdf","$14,100,700","$532,889","$0","-$11,911,152","$0","$0","-$11,911,152","$17,473,028","$17,473,028","$0","$495,000","$495,000","$0","$0","$16,955,434","$26,011,852","$6,873,422","$0","$18,615,509","$16,074,939","$2,540,570","$0","$4,050","$0","$139,378","$94,778","$359,288","$0","$109,310","$141,748","","$0","DAVID FRIDKIN","Mr. David Fridkin ","Mr. David Fridkin ","CEO and Administrator","dfridkin@islandnursing.org","303"
"IL Circolo Di Amici","11-3572924","","","2001","","","162 Post Ave","","Westbury","NY","Nassau",="11590","","","501(c)(3) Public Charity","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/11-3572924","http://www.guidestar.org/FinDocuments/2002/113/572/2002-113572924-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mlb Hilltop Health Care Facilities Inc","11-3573033","2008-01-01","2008-12-31","1989","2008","990","3922 Coconut Palm Dr Ste 102","","Tampa","FL","Hillsborough",="33619","813-635-9500","","501(c)(3) Public Charity","Nursing homes","","","E91 (Nursing, Convalescent (Geriatric and Nursing))","623110","8051","8052","N","","HLB Gross Collins PC","http://www.guidestar.org/profile/11-3573033","http://www.guidestar.org/FinDocuments/2008/113/573/2008-113573033-054876b5-9.pdf","$0","","","$0","","","","$1,108,724","$1,108,724","","","","","","$1,108,724","$0","$0","","$1,021,004","$1,021,004","$0","$0","$7,250","$1,137","","$27,238","$88,190","","","","","","Shlomo Lesin","","","","","243"
"Yuanji Society Inc","11-3573888","2018-08-01","2019-07-31","2001","2018","990EZ","295 Northern Blvd Ste 204","","Great Neck","NY","Nassau",="11021","646-258-8099","N/A","501(c)(3) Public Charity","Personal services","","","P50 (Personal Social Services)","624190","8322","","","","K&J Accounting and Tax Consulting Inc","http://www.guidestar.org/profile/11-3573888","http://www.guidestar.org/FinDocuments/2019/113/573/2019-113573888-1141ba92-Z.pdf","$10,756","$10,756","","$10,756","","","","$316","$316","$16","$300","","","","","","","","$475","","","","","","","","","","","","","","","","","","",""
"Bi-County Helpline for Abuse Against Women and Children Inc","11-3574586","2008-07-01","2009-06-30","2001","2008","990EZ","6 Eton Rd","","Farmingville","NY","Suffolk",="11738","631-736-7278","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","N","PORTFOLIO PLANNERS INC","http://www.guidestar.org/profile/11-3574586","http://www.guidestar.org/FinDocuments/2013/113/574/2013-113574586-09c19b32-Z.pdf","$2,469","$2,469","","$2,469","","","","$237,808","$237,808","","$110,952","","","","","$0","","","$236,874","","","","","","","","","","","","$873","","","","","","",""
"Grassroots Movement Inc","11-3574918","","","2005","","","1260 Bedford Ave","","Brooklyn","NY","Kings",="11216","","","501(c)(3) Public Charity","Ethnic and racial minority rights","","","Q12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-3574918","http://www.guidestar.org/FinDocuments/2008/113/574/2008-113574918-0679690f-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acf Long Island Chefs Inc","11-3575669","2017-01-01","2017-12-31","2002","2017","990EZ","PO Box 1833","","Massapequa","NY","Nassau",="11758","","WWW.LICHEFS.COM","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","N","Bruce A Rosen CPA PC","http://www.guidestar.org/profile/11-3575669","http://www.guidestar.org/FinDocuments/2018/113/575/2018-113575669-116c607b-Z.pdf","$15,321","$15,321","","$15,321","","","","$18,051","$41,219","","$8,480","","$9,571","","","","","","$20,110","","","","","","","","","","","","$2,186","","","","","","",""
"Living Room International Children Ministries Inc","11-3577535","","","2002","","","19517 Linden Blvd","","Saint Albans","NY","Queens",="11412","","","501(c)(3) Public Charity","Youth services","","","O23 (Boys and Girls Clubs (Combined))","624110","8322","","","","","http://www.guidestar.org/profile/11-3577535","http://www.guidestar.org/FinDocuments/2012/113/577/2012-113577535-09b8ce3c-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
